experiment_id,game_index,turn_number,mover,supply_point,state_at_turn_start,p1_pieces_at_turn_start,p2_pieces_at_turn_start,legal_max_additional_placements_this_turn,state_at_turn_end,p1_pieces_at_turn_end,p2_pieces_at_turn_end
"uct-100000-self-play","34","2","2","S32","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","2","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S11","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S13","1","1","0","2","1","1","0"
"uct-100000-self-play","34","3","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S21","2","0","1","2","2","0","1"
"uct-100000-self-play","34","3","1","S22","1","1","0","2","1","1","0"
"uct-100000-self-play","34","3","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","3","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S31","2","0","1","2","0","1","1"
"uct-100000-self-play","34","3","1","S32","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","3","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S11","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S13","1","1","0","2","0","1","1"
"uct-100000-self-play","34","4","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S21","2","0","1","2","2","0","1"
"uct-100000-self-play","34","4","2","S22","1","1","0","2","2","1","2"
"uct-100000-self-play","34","4","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","4","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S31","0","1","1","2","0","1","1"
"uct-100000-self-play","34","4","2","S32","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","4","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S11","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","5","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S21","2","0","1","2","0","1","1"
"uct-100000-self-play","34","5","1","S22","2","1","2","2","3","3","2"
"uct-100000-self-play","34","5","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","5","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S31","0","1","1","2","0","1","1"
"uct-100000-self-play","34","5","1","S32","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","5","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S11","0","0","0","2","2","0","1"
"uct-100000-self-play","34","6","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","6","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S21","0","1","1","2","2","1","2"
"uct-100000-self-play","34","6","2","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","6","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","6","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S31","0","1","1","2","0","1","1"
"uct-100000-self-play","34","6","2","S32","0","0","0","2","2","0","1"
"uct-100000-self-play","34","6","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","6","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S11","2","0","1","2","2","0","1"
"uct-100000-self-play","34","7","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","7","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S21","2","1","2","2","3","3","2"
"uct-100000-self-play","34","7","1","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","7","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","7","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S31","0","1","1","2","0","1","1"
"uct-100000-self-play","34","7","1","S32","2","0","1","2","2","0","1"
"uct-100000-self-play","34","7","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","7","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S11","2","0","1","2","2","0","1"
"uct-100000-self-play","34","8","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","8","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","8","2","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","8","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","8","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S31","0","1","1","2","2","1","2"
"uct-100000-self-play","34","8","2","S32","2","0","1","2","2","0","1"
"uct-100000-self-play","34","8","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","8","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S11","2","0","1","2","2","0","1"
"uct-100000-self-play","34","9","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","9","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","9","1","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","9","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","9","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S31","2","1","2","2","2","1","2"
"uct-100000-self-play","34","9","1","S32","2","0","1","2","0","1","1"
"uct-100000-self-play","34","9","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","9","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S11","2","0","1","2","2","0","1"
"uct-100000-self-play","34","10","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","10","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","10","2","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","10","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","10","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S31","2","1","2","1","2","1","2"
"uct-100000-self-play","34","10","2","S32","0","1","1","2","2","1","2"
"uct-100000-self-play","34","10","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","10","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S04","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S11","2","0","1","2","0","1","1"
"uct-100000-self-play","34","11","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","11","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","11","1","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","11","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","11","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S31","2","1","2","2","2","1","2"
"uct-100000-self-play","34","11","1","S32","2","1","2","2","2","1","2"
"uct-100000-self-play","34","11","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","11","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S04","0","0","0","2","2","0","1"
"uct-100000-self-play","34","12","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S11","0","1","1","2","0","1","1"
"uct-100000-self-play","34","12","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","12","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","12","2","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","12","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","12","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S31","2","1","2","1","2","1","2"
"uct-100000-self-play","34","12","2","S32","2","1","2","1","2","1","2"
"uct-100000-self-play","34","12","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","12","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S01","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S04","2","0","1","2","2","0","1"
"uct-100000-self-play","34","13","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S11","0","1","1","2","0","1","1"
"uct-100000-self-play","34","13","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","13","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","13","1","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","13","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","13","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S31","2","1","2","2","0","2","2"
"uct-100000-self-play","34","13","1","S32","2","1","2","2","2","1","2"
"uct-100000-self-play","34","13","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","13","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S01","0","0","0","2","2","0","1"
"uct-100000-self-play","34","14","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S04","2","0","1","2","2","0","1"
"uct-100000-self-play","34","14","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S11","0","1","1","2","0","1","1"
"uct-100000-self-play","34","14","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","14","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","14","2","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","14","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","14","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S31","0","2","2","1","0","2","2"
"uct-100000-self-play","34","14","2","S32","2","1","2","1","2","1","2"
"uct-100000-self-play","34","14","2","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","14","2","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S01","2","0","1","2","0","1","1"
"uct-100000-self-play","34","15","1","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S04","2","0","1","2","0","1","1"
"uct-100000-self-play","34","15","1","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S11","0","1","1","2","0","1","1"
"uct-100000-self-play","34","15","1","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","15","1","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","15","1","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","15","1","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","15","1","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S31","0","2","2","1","0","2","2"
"uct-100000-self-play","34","15","1","S32","2","1","2","2","2","1","2"
"uct-100000-self-play","34","15","1","S33","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S34","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S40","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S41","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S42","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S43","0","0","0","2","0","0","0"
"uct-100000-self-play","34","15","1","S44","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S00","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S01","0","1","1","2","2","1","2"
"uct-100000-self-play","34","16","2","S02","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S03","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S04","0","1","1","2","0","1","1"
"uct-100000-self-play","34","16","2","S10","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S11","0","1","1","2","2","1","2"
"uct-100000-self-play","34","16","2","S12","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S13","0","1","1","2","0","1","1"
"uct-100000-self-play","34","16","2","S14","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S20","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S21","3","3","2","0","3","3","2"
"uct-100000-self-play","34","16","2","S22","3","3","2","0","3","3","2"
"uct-100000-self-play","34","16","2","S23","0","1","1","2","0","1","1"
"uct-100000-self-play","34","16","2","S24","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S30","0","0","0","2","0","0","0"
"uct-100000-self-play","34","16","2","S31","0","2","2","1","0","2","2"
"uct-100000-self-play","34","16","2","S32","2","1","2","1","2","1","2"
