position_id,iteration_budget,site,site_type,target_count,target_rate_per_turn,supply_source_count,supply_source_rate_per_turn
turn-3-supply-securing-choice,10000,S13,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S14,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S20,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S21,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S22,supply,0,0.0,2,1.0
turn-3-supply-securing-choice,10000,S23,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,10000,S24,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S30,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S31,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S32,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,10000,S33,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S34,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S40,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S41,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S42,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S43,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,S44,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O00,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O01,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O02,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O03,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O10,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O11,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O12,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O13,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O20,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O21,objective,2,1.0,0,0.0
turn-3-supply-securing-choice,10000,O22,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O23,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O30,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O31,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O32,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,10000,O33,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S00,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S01,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S02,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S03,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S04,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S10,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S11,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S12,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,30000,S13,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,30000,S14,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S20,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S21,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S22,supply,0,0.0,2,1.0
turn-3-supply-securing-choice,30000,S23,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,30000,S24,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S30,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S31,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S32,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,30000,S33,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S34,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S40,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S41,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S42,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S43,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,S44,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O00,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O01,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O02,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O03,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O10,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O11,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O12,objective,1,0.5,0,0.0
turn-3-supply-securing-choice,30000,O13,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O20,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O21,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O22,objective,1,0.5,0,0.0
turn-3-supply-securing-choice,30000,O23,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O30,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O31,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O32,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,30000,O33,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S00,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S01,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S02,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S03,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S04,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S10,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S11,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,100000,S12,supply,2,1.0,0,0.0
turn-3-supply-securing-choice,100000,S13,supply,1,0.5,0,0.0
turn-3-supply-securing-choice,100000,S14,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S20,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S21,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S22,supply,0,0.0,2,1.0
turn-3-supply-securing-choice,100000,S23,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S24,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S30,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S31,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S32,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S33,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S34,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S40,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S41,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S42,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S43,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,S44,supply,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O00,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O01,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O02,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O03,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O10,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O11,objective,1,0.5,0,0.0
turn-3-supply-securing-choice,100000,O12,objective,1,0.5,0,0.0
turn-3-supply-securing-choice,100000,O13,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O20,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O21,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O22,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O23,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O30,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O31,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O32,objective,0,0.0,0,0.0
turn-3-supply-securing-choice,100000,O33,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S00,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S01,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S02,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S03,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S04,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S10,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S11,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S12,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S13,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S14,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S20,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S21,supply,0,0.0,2,1.0
turn-4-central-peripheral-competition,10000,S22,supply,0,0.0,2,1.0
turn-4-central-peripheral-competition,10000,S23,supply,0,0.0,1,0.5
turn-4-central-peripheral-competition,10000,S24,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S30,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S31,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S32,supply,1,0.5,0,0.0
turn-4-central-peripheral-competition,10000,S33,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S34,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S40,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S41,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S42,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S43,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,S44,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O00,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O01,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O02,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O03,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O10,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O11,objective,1,0.5,0,0.0
turn-4-central-peripheral-competition,10000,O12,objective,1,0.5,0,0.0
turn-4-central-peripheral-competition,10000,O13,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O20,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O21,objective,2,1.0,0,0.0
turn-4-central-peripheral-competition,10000,O22,objective,1,0.5,0,0.0
turn-4-central-peripheral-competition,10000,O23,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O30,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O31,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O32,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,10000,O33,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S00,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S01,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S02,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S03,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S04,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S10,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S11,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S12,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S13,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S14,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S20,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S21,supply,0,0.0,2,1.0
turn-4-central-peripheral-competition,30000,S22,supply,0,0.0,2,1.0
turn-4-central-peripheral-competition,30000,S23,supply,0,0.0,1,0.5
turn-4-central-peripheral-competition,30000,S24,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S30,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S31,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S32,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S33,supply,1,0.5,0,0.0
turn-4-central-peripheral-competition,30000,S34,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S40,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S41,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S42,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S43,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,S44,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O00,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O01,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O02,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O03,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O10,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O11,objective,2,1.0,0,0.0
turn-4-central-peripheral-competition,30000,O12,objective,2,1.0,0,0.0
turn-4-central-peripheral-competition,30000,O13,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O20,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O21,objective,1,0.5,0,0.0
turn-4-central-peripheral-competition,30000,O22,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O23,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O30,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O31,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O32,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,30000,O33,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S00,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S01,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S02,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S03,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S04,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S10,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S11,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S12,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S13,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S14,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S20,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S21,supply,0,0.0,1,0.5
turn-4-central-peripheral-competition,100000,S22,supply,0,0.0,2,1.0
turn-4-central-peripheral-competition,100000,S23,supply,0,0.0,1,0.5
turn-4-central-peripheral-competition,100000,S24,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S30,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S31,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S32,supply,2,1.0,0,0.0
turn-4-central-peripheral-competition,100000,S33,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S34,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S40,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S41,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S42,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S43,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,S44,supply,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O00,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O01,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O02,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O03,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O10,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O11,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O12,objective,2,1.0,0,0.0
turn-4-central-peripheral-competition,100000,O13,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O20,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O21,objective,2,1.0,0,0.0
turn-4-central-peripheral-competition,100000,O22,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O23,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O30,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O31,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O32,objective,0,0.0,0,0.0
turn-4-central-peripheral-competition,100000,O33,objective,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S00,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S01,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S02,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S03,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S04,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S10,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S11,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S12,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S13,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S14,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S20,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S21,supply,0,0.0,2,1.0
turn-5-objective-supply-tradeoff,10000,S22,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S23,supply,2,1.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S24,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S30,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S31,supply,0,0.0,2,1.0
turn-5-objective-supply-tradeoff,10000,S32,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S33,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S34,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S40,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S41,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S42,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S43,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,S44,supply,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,O00,objective,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,O01,objective,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,O02,objective,0,0.0,0,0.0
turn-5-objective-supply-tradeoff,10000,O03,objective,0,0.0,0,0.0
